index,CH1
490,6.5
491,1.5
492,-8.5
493,-14.5
494,-14.5
495,-3.5
496,3.5
497,6.5
498,5.5
499,-14.5
500,-1.5
501,1.5
502,-6.5
503,-4.5
504,-3.5
505,-3.5
506,-0.5
507,12.5
508,6.5
509,25.5
510,3.5
511,-0.5
512,-4.5
513,-5.5
514,-5.5
515,-3.5
516,-0.5
517,10.5
518,6.5
519,-7.5
520,-0.5
521,7.5
522,-4.5
523,-7.5
524,-5.5
525,0.5
526,-3.5
527,0.5
528,10.5
529,4.5
530,2.5
531,-1.5
532,-7.5
533,-8.5
534,-7.5
535,-0.5
536,-0.5
537,7.5
538,5.5
539,-1.5
540,1.5
541,-8.5
542,-6.5
543,-3.5
544,-3.5
545,0.5
546,2.5
547,6.5
548,12.5
549,6.5
550,4.5
551,9.5
552,-7.5
553,-7.5
554,-4.5
555,-7.5
556,3.5
557,5.5
558,9.5
559,6.5
560,-0.5
561,4.5
562,-5.5
563,-7.5
564,-8.5
565,-3.5
566,-3.5
567,4.5
568,7.5
569,4.5
570,3.5
571,-5.5
572,-11.5
573,-1.5
574,-8.5
575,-6.5
576,-3.5
577,10.5
578,9.5
579,5.5
580,-1.5
581,1.5
582,-4.5
583,-5.5
584,-1.5
585,15.5
586,-1.5
587,8.5
588,13.5
589,6.5
590,4.5
591,1.5
592,-7.5
593,-4.5
594,-3.5
595,-5.5
596,-0.5
597,10.5
598,9.5
599,8.5
600,5.5
601,-3.5
602,-3.5
603,-10.5
604,-7.5
605,-3.5
606,-1.5
607,4.5
608,8.5
609,0.5
610,-5.5
611,-1.5
612,-7.5
613,-6.5
614,-1.5
615,-15.5
616,4.5
617,4.5
618,1.5
619,4.5
620,-1.5
621,4.5
622,-6.5
623,-6.5
624,-4.5
625,-1.5
626,-1.5
627,12.5
628,4.5
629,7.5
630,0.5
631,-1.5
632,-7.5
633,-5.5
634,-6.5
635,-4.5
636,-9.5
637,9.5
638,7.5
639,9.5
640,4.5
641,-1.5
642,-0.5
643,-3.5
644,-1.5
645,-3.5
646,0.5
647,6.5
648,5.5
649,6.5
650,1.5
651,-1.5
652,-6.5
653,-11.5
654,-3.5
655,-6.5
656,-3.5
657,-1.5
658,6.5
659,-0.5
660,7.5
661,-1.5
662,-9.5
663,-7.5
664,1.5
665,-1.5
666,0.5
667,12.5
668,6.5
669,0.5
670,5.5
671,2.5
672,-5.5
673,-5.5
674,-6.5
675,-1.5
676,-1.5
677,0.5
678,5.5
679,12.5
680,1.5
681,-3.5
682,-14.5
683,-4.5
684,-32.5
685,-4.5
686,0.5
687,6.5
688,10.5
689,-8.5
690,2.5
691,-1.5
692,1.5
693,-6.5
694,4.5
695,-4.5
696,1.5
697,2.5
698,8.5
699,9.5
700,2.5
701,-0.5
702,2.5
703,-3.5
704,-5.5
705,-3.5
706,-0.5
707,-0.5
708,13.5
709,-1.5
710,4.5
711,-0.5
712,19.5
713,-7.5
714,-8.5
715,1.5
716,-3.5
717,15.5
718,1.5
719,40.5
720,7.5
721,0.5
722,3.5
723,-8.5
724,-6.5
725,-3.5
726,0.5
727,15.5
728,-3.5
729,6.5
730,6.5
731,4.5
732,-3.5
733,-3.5
734,-7.5
735,-1.5
736,-1.5
737,7.5
738,7.5
739,5.5
740,-1.5
741,8.5
742,12.5
743,-7.5
744,-6.5
745,-3.5
746,1.5
747,-20.5
748,29.5
749,4.5
750,0.5
751,2.5
752,-0.5
753,21.5
754,-3.5
755,-7.5
756,-0.5
757,-3.5
758,3.5
759,4.5
760,1.5
761,-1.5
762,-4.5
763,10.5
764,-12.5
765,-10.5
766,-0.5
767,4.5
768,8.5
769,6.5
770,1.5
771,6.5
772,-3.5
773,-6.5
774,-3.5
775,7.5
776,5.5
777,5.5
778,4.5
779,3.5
780,5.5
781,-4.5
782,-7.5
783,-8.5
784,-3.5
785,1.5
786,1.5
787,3.5
788,11.5
789,8.5
790,5.5
791,9.5
792,-4.5
793,-8.5
794,0.5
795,-1.5
796,2.5
797,7.5
798,6.5
799,-0.5
800,-3.5
801,15.5
802,-7.5
803,-1.5
804,-4.5
805,-3.5
806,-1.5
807,4.5
808,4.5
809,9.5
810,0.5
811,10.5
812,-5.5
813,-3.5
814,-6.5
815,-1.5
816,1.5
817,9.5
818,8.5
819,0.5
820,-1.5
821,3.5
822,-3.5
823,-1.5
824,0.5
825,-6.5
826,-1.5
827,4.5
828,9.5
829,-1.5
830,4.5
831,-0.5
832,-3.5
833,-8.5
834,-7.5
835,-5.5
836,-1.5
837,4.5
838,6.5
839,4.5
840,2.5
841,1.5
842,-0.5
843,-5.5
844,1.5
845,-3.5
846,-0.5
847,4.5
848,9.5
849,3.5
850,22.5
851,3.5
852,-1.5
853,-4.5
854,12.5
855,-3.5
856,-0.5
857,6.5
858,6.5
859,7.5
860,-25.5
861,1.5
862,-6.5
863,-10.5
864,-8.5
865,-3.5
866,0.5
867,6.5
868,9.5
869,4.5
870,-11.5
871,-1.5
872,-4.5
873,-4.5
874,-9.5
875,-3.5
876,6.5
877,3.5
878,6.5
879,-4.5
880,6.5
881,-4.5
882,-4.5
883,-6.5
884,-3.5
885,-1.5
886,22.5
887,6.5
888,12.5
889,10.5
890,5.5
891,5.5
892,-7.5
893,-7.5
894,-4.5
895,-3.5
896,-0.5
897,5.5
898,6.5
899,31.5
900,1.5
901,2.5
902,-1.5
903,-9.5
904,-6.5
905,-3.5
906,3.5
907,6.5
908,7.5
909,-0.5
910,-1.5
911,-1.5
912,-3.5
913,-7.5
914,-7.5
915,5.5
916,0.5
917,3.5
918,7.5
919,4.5
920,3.5
921,1.5
922,-6.5
923,-0.5
924,-5.5
925,-3.5
926,-1.5
927,2.5
928,2.5
929,0.5
930,3.5
931,-1.5
932,-3.5
933,-7.5
934,-3.5
935,0.5
936,5.5
937,6.5
938,3.5
939,6.5
940,2.5
941,-3.5
942,-4.5
943,-9.5
944,-3.5
945,4.5
946,-0.5
947,7.5
948,6.5
949,5.5
950,-0.5
951,3.5
952,-3.5
953,-9.5
954,-1.5
955,3.5
956,-0.5
957,4.5
958,22.5
959,-3.5
960,6.5
961,-0.5
962,-5.5
963,-3.5
964,-3.5
965,-6.5
966,0.5
967,6.5
968,4.5
969,10.5
970,4.5
971,-0.5
972,-6.5
973,-3.5
974,-4.5
975,17.5
976,2.5
977,6.5
978,-22.5
979,6.5
980,-0.5
981,-1.5
982,-3.5
983,-12.5
984,-3.5
985,-3.5
986,1.5
987,9.5
988,5.5
989,1.5
990,0.5
991,0.5
992,-5.5
993,-22.5
994,-1.5
995,-1.5
996,-3.5
997,6.5
998,6.5
999,5.5
1000,3.5
1001,4.5
1002,-3.5
1003,-7.5
1004,-3.5
1005,-3.5
1006,1.5
1007,6.5
1008,7.5
1009,10.5
1010,16.5
1011,-4.5
1012,-3.5
1013,-7.5
1014,2.5
1015,-4.5
1016,-3.5
1017,5.5
1018,10.5
1019,1.5
1020,-0.5
1021,4.5
1022,-4.5
1023,-7.5
1024,-9.5
1025,0.5
1026,-1.5
1027,4.5
1028,0.5
1029,5.5
1030,26.5
1031,0.5
1032,-3.5
1033,-5.5
1034,24.5
1035,-1.5
1036,1.5
1037,2.5
1038,10.5
1039,10.5
1040,-1.5
1041,-3.5
1042,1.5
1043,-4.5
1044,-7.5
1045,-0.5
1046,-0.5
1047,6.5
1048,7.5
1049,-15.5
1050,-0.5
1051,0.5
1052,-5.5
1053,-5.5
1054,-3.5
1055,1.5
1056,0.5
1057,3.5
1058,6.5
1059,-24.5
1060,2.5
1061,19.5
1062,-3.5
1063,-7.5
1064,-3.5
1065,-0.5
1066,-3.5
1067,7.5
1068,8.5
1069,-0.5
1070,0.5
1071,-0.5
1072,-0.5
1073,-9.5
1074,-7.5
1075,-0.5
1076,2.5
1077,2.5
1078,6.5
1079,1.5
1080,6.5
1081,-16.5
1082,0.5
1083,-10.5
1084,-6.5
1085,-7.5
1086,1.5
1087,4.5
1088,5.5
1089,5.5
1090,4.5
1091,1.5
1092,-5.5
1093,-4.5
1094,-4.5
1095,2.5
1096,-3.5
1097,4.5
1098,5.5
1099,4.5
1100,5.5
1101,1.5
1102,-3.5
1103,-9.5
1104,-5.5
1105,-5.5
1106,0.5
1107,5.5
1108,12.5
1109,6.5
1110,3.5
