index,CH1_Voltage(mV)
1,-23
2,-3
3,-21
4,-23
5,-9
6,-19
7,9
8,-19
9,-15
10,-19
11,-13
12,-3
13,-9
14,-7
15,-15
16,-9
17,-9
18,-21
19,-1
20,-3
21,-13
22,-37
23,-1
24,-23
25,-9
26,-1
27,1
28,5
29,-65
30,1
31,11
32,5
33,1
34,-13
35,1
36,-9
37,-17
38,-23
39,-23
40,-1
41,-19
42,-9
43,25
44,-5
45,1
46,-5
47,-15
48,-5
49,5
50,-3
51,-11
52,9
53,-23
54,-7
55,-7
56,-5
57,-5
58,-1
59,-5
60,5
61,5
62,5
63,5
64,9
65,-1
66,-5
67,-9
68,-5
69,-11
70,-5
71,1
72,1
73,5
74,15
75,-5
76,5
77,-7
78,1
79,9
80,5
81,5
82,9
83,9
84,27
85,1
86,-1
87,1
88,5
89,-3
90,-9
91,-7
92,-11
93,-7
94,17
95,-1
96,-7
97,-9
98,-7
99,-9
100,7
101,13
102,5
103,5
104,-9
105,-1
106,-3
107,-1
108,-5
109,-7
110,-5
111,1
112,15
113,5
114,9
115,-13
116,5
117,-1
118,-13
119,-5
120,-1
121,9
122,-3
123,-43
124,-5
125,5
126,-1
127,-3
128,-9
129,5
130,-3
131,5
132,-1
133,-1
134,9
135,1
136,5
137,-1
138,-3
139,13
140,7
141,-5
142,5
143,-5
144,-11
145,-1
146,-1
147,-65
148,-3
149,-11
150,-1
151,-7
152,-1
153,-1
154,-3
155,27
156,-9
157,13
158,5
159,-5
160,-5
161,-1
162,-3
163,11
164,45
165,11
166,-9
167,-15
168,1
169,5
170,-5
171,-3
172,9
173,-1
174,-1
175,-13
176,1
177,-7
178,-9
179,1
180,-1
181,-9
182,9
183,5
184,-21
185,-7
186,11
187,1
188,-5
189,-5
190,-7
191,5
192,9
193,-1
194,-1
195,-3
196,1
197,9
198,-9
199,1
200,-7
201,5
202,1
203,-7
204,-1
205,5
206,-13
207,-13
208,-15
209,11
210,15
211,5
212,-9
213,9
214,-11
215,1
216,-1
217,-1
218,-7
219,-5
220,1
221,-5
222,5
223,-3
224,-1
225,5
226,-7
227,-1
228,1
229,7
230,5
231,9
232,-13
233,-1
234,7
235,1
236,-11
237,-1
238,-5
239,1
240,-13
241,-1
242,5
243,1
244,23
245,-1
246,-1
247,-1
248,-7
249,-1
250,5
251,1
252,-5
253,-1
254,13
255,-1
256,5
257,5
258,-1
259,-31
260,5
261,5
262,1
263,1
264,13
265,21
266,-15
267,-5
268,-1
269,-13
270,7
271,7
272,9
273,1
274,1
275,7
276,5
277,-5
278,5
279,-3
280,7
281,5
282,15
283,1
284,7
285,9
286,1
287,1
288,-1
289,-9
290,-1
291,1
292,15
293,15
294,-3
295,-3
296,-9
297,25
298,1
299,9
300,25
301,5
302,5
303,-1
304,-9
305,1
306,-3
307,1
308,-3
309,9
310,9
311,-5
312,21
313,9
314,5
315,1
316,-1
317,-1
318,-1
319,-9
320,-3
321,7
322,-3
323,5
324,45
325,1
326,1
327,-5
328,-9
329,-3
330,-1
331,-3
332,5
333,-1
334,9
335,5
336,-13
337,1
338,-5
339,1
340,-7
341,5
342,-1
343,5
344,-7
345,9
346,-7
347,-1
348,-1
349,-1
350,-7
351,1
352,-9
353,5
354,-11
355,-3
356,-7
357,-15
358,-5
359,9
360,-1
361,-1
362,5
363,1
364,-1
365,-9
366,-7
367,5
368,-3
369,13
370,-1
371,-3
372,-3
373,25
374,-7
375,5
376,-5
377,1
378,-5
379,-5
380,5
381,1
382,-3
383,-7
384,9
385,5
386,-11
387,5
388,1
389,-5
390,5
391,7
392,11
393,5
394,5
395,-7
396,-5
397,1
398,-1
399,-1
400,-3
401,-5
402,1
403,1
404,5
405,5
406,7
407,-13
408,-5
409,-19
410,-3
411,-5
412,-5
413,5
414,-5
415,-5
416,-5
417,-1
418,-1
419,5
420,-3
421,-3
422,5
423,13
424,1
425,-1
426,-1
427,5
428,-1
429,9
430,9
431,13
432,-1
433,1
434,-7
435,5
436,7
437,-17
438,-9
439,15
440,-7
441,9
442,55
443,-1
444,15
445,1
446,5
447,-13
448,-39
449,5
450,-1
451,-17
452,-1
453,-13
454,-5
455,9
456,-5
457,1
458,-1
459,-1
460,5
461,1
462,-5
463,9
464,-11
465,-3
466,-1
467,5
468,-1
469,-15
470,13
471,11
472,5
473,11
474,-9
475,5
476,5
477,1
478,-1
479,1
480,21
481,-1
482,17
483,5
484,5
485,-7
486,1
487,1
488,-1
489,1
490,-19
491,5
492,9
493,5
494,7
495,-1
496,9
497,-15
498,-11
499,-9
500,-7
501,13
502,5
503,-3
504,13
505,5
506,5
507,1
508,-5
509,9
510,5
511,7
512,13
513,-3
514,13
515,-1
516,-9
517,1
518,-5
519,-17
520,13
521,13
522,15
523,29
524,-1
525,21
526,19
527,-5
528,-7
529,9
530,5
531,9
532,1
533,-5
534,-7
535,-11
536,-15
537,-1
538,-1
539,-5
540,-3
541,9
542,1
543,-1
544,-31
545,-1
546,-1
